time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0.000,nan,nan,658.662,836.197,823.183,828.485,nan,nan,nan,nan,537.434,634.076
0.033,nan,nan,658.377,835.781,822.046,825.420,nan,nan,nan,nan,538.568,630.455
0.067,nan,nan,658.324,835.228,822.758,823.628,nan,nan,nan,nan,538.601,629.716
0.100,nan,nan,658.268,834.863,821.555,819.665,nan,nan,nan,nan,538.604,628.667
0.133,nan,nan,659.508,835.339,820.373,816.549,nan,nan,nan,nan,538.800,624.891
0.167,nan,nan,659.109,835.264,819.324,812.929,nan,nan,nan,nan,539.525,622.632
0.200,nan,nan,659.175,834.365,819.319,809.593,nan,nan,nan,nan,539.168,622.288
0.233,nan,nan,658.880,833.992,818.429,808.015,nan,nan,nan,nan,538.703,620.631
0.267,nan,nan,658.212,832.857,817.948,806.651,nan,nan,nan,nan,538.223,618.706
0.300,nan,nan,656.968,829.924,818.575,804.508,nan,nan,nan,nan,536.984,612.883
0.333,nan,nan,656.985,826.721,818.600,802.683,nan,nan,nan,nan,536.725,608.748
0.367,nan,nan,655.699,824.145,818.225,800.830,nan,nan,nan,nan,536.374,605.574
0.400,nan,nan,655.139,820.432,818.269,800.050,nan,nan,nan,nan,536.200,603.117
0.433,nan,nan,654.232,816.687,818.355,799.455,nan,nan,nan,nan,535.150,601.127
0.467,nan,nan,653.781,815.031,818.995,798.555,nan,nan,nan,nan,534.927,597.061
0.500,nan,nan,nan,nan,818.330,798.153,657.590,828.934,650.302,798.746,533.509,592.355
0.533,nan,nan,nan,nan,818.330,798.153,657.589,828.943,649.419,795.065,533.522,589.187
0.567,nan,nan,nan,nan,818.330,798.153,657.642,828.751,649.267,788.921,532.372,587.140
0.600,nan,nan,nan,nan,818.853,798.552,657.642,828.751,647.418,783.864,531.482,583.188
0.633,nan,nan,nan,nan,818.449,798.019,657.632,828.734,647.371,780.518,530.655,580.006
0.667,nan,nan,nan,nan,818.037,796.716,657.762,828.631,647.418,777.100,530.796,577.721
0.700,835.775,789.155,926.271,830.713,818.241,795.792,657.808,828.683,646.743,769.971,530.233,575.333
0.733,nan,nan,927.805,843.495,818.445,796.076,657.593,828.590,646.274,765.233,530.211,573.795
0.767,nan,nan,938.590,845.827,818.938,795.711,657.517,828.812,645.859,761.568,528.242,574.260
0.800,nan,nan,941.476,846.708,818.812,793.749,657.607,828.059,646.570,757.601,526.267,572.754
0.833,nan,nan,945.715,846.436,819.563,788.879,657.635,826.750,645.241,752.834,524.614,567.918
0.867,nan,nan,946.242,845.392,819.846,786.603,657.700,825.764,643.687,745.781,523.015,563.786
0.900,nan,nan,948.270,845.160,820.055,784.034,657.693,825.104,642.177,740.900,522.374,561.901
0.933,nan,nan,949.686,843.699,821.130,779.635,657.588,824.116,642.460,734.730,519.451,560.618
0.967,nan,nan,950.777,842.931,820.966,773.795,657.605,823.734,642.697,729.809,518.919,559.661
1.000,nan,nan,951.528,841.293,821.458,769.537,657.516,823.093,641.312,725.575,517.261,555.839
1.033,nan,nan,952.121,839.342,821.543,765.492,657.596,821.973,639.716,721.744,515.260,551.052
1.067,nan,nan,951.509,838.562,824.170,759.771,657.537,820.765,640.005,716.548,513.502,548.298
1.100,nan,nan,951.795,837.302,826.287,756.306,657.898,820.179,639.526,711.403,511.388,545.461
1.133,nan,nan,951.352,837.002,826.997,753.049,658.823,818.461,637.509,707.056,508.863,539.990
1.167,nan,nan,952.923,835.051,829.254,748.969,659.289,816.439,636.724,703.539,508.178,535.440
1.200,nan,nan,954.017,832.493,830.626,745.011,659.501,813.025,634.925,697.795,507.640,532.922
1.233,nan,nan,956.252,830.954,832.403,743.810,659.656,811.991,631.920,694.099,506.756,528.212
1.267,nan,nan,957.112,829.393,832.709,743.990,659.340,811.259,629.592,689.848,506.104,523.781
1.300,nan,nan,958.724,827.540,832.953,742.861,659.399,810.737,626.569,683.353,505.811,517.583
1.333,nan,nan,959.509,825.829,833.427,742.141,659.151,810.542,625.596,678.239,505.500,514.374
1.367,nan,nan,960.562,824.898,833.786,742.100,658.959,810.846,623.241,671.763,504.916,507.981
1.400,839.487,844.975,961.703,823.648,834.954,742.090,658.860,810.314,620.361,666.337,503.592,502.293
1.433,841.757,843.438,962.466,821.914,835.191,742.839,634.383,779.976,619.161,660.801,503.948,498.688
1.467,842.086,842.732,962.449,820.685,835.461,742.680,561.872,751.627,617.771,655.280,503.784,493.392
1.500,842.460,841.741,963.114,819.215,835.715,743.115,564.916,756.104,616.226,651.518,503.632,488.297
1.533,842.865,840.363,964.056,817.334,835.509,743.294,558.310,780.128,613.068,643.722,503.064,482.401
